,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
247,M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Cambridge,Yes,19,79.0,274.0
248,S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Somerville,Yes,19,0.0,0.0
249,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,42.0,188.0
250,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,70.0,111.0
251,F32001,Main St at Brooks Park,42.411709,-71.110444,Medford,Yes,11,0.0,0.0
252,D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Boston,Yes,15,44.0,202.0
253,M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Cambridge,Yes,23,0.0,151.0
254,G32001,Malden Center T Station,42.426541,-71.073179,Malden,Yes,11,0.0,0.0
255,G32003,Malden High School,42.42653766,-71.06393695,Malden,Yes,11,0.0,0.0
256,K32012,Marion St at Harvard St,42.34012243,-71.12070564,Brookline,Yes,15,0.0,259.0
257,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,91.0,416.0
258,M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Cambridge,Yes,18,0.0,193.0
259,M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,19,0.0,0.0
260,C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,14,220.0,801.0
261,M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Cambridge,Yes,15,0.0,68.0
262,C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Boston,Yes,13,213.0,811.0
263,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15,35.0,107.0
264,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15,26.0,53.0
265,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33,20.0,114.0
266,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15,19.0,50.0
267,T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Salem,Yes,11,0.0,0.0
268,C32112,Meaney Playground - Pleasant St at E Cottage St,42.31870275,-71.05889978,,Yes,17,81.0,309.0
